title,rank,date,artist,url,region,chart,trend,streams
Despacito (Featuring Daddy Yankee),1,2017-03-01,Luis Fonsi,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,Argentina,top200,SAME_POSITION,365941
El Amante,2,2017-03-01,Nicky Jam,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs,Argentina,top200,SAME_POSITION,179697
ReggaetÃ³n Lento (Bailemos),3,2017-03-01,CNCO,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,Argentina,top200,SAME_POSITION,169647
Shape of You,4,2017-03-01,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Argentina,top200,SAME_POSITION,168495
Chantaje (feat. Maluma),5,2017-03-01,Shakira,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,Argentina,top200,SAME_POSITION,141696
La Rompe Corazones,6,2017-03-01,"Daddy Yankee, Ozuna",https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3,Argentina,top200,MOVE_UP,130672
Cuando Se Pone a Bailar,7,2017-03-01,Rombai,https://open.spotify.com/track/1MpKZi1zTXpERKwxmOu1PH,Argentina,top200,MOVE_DOWN,128087
Otra vez (feat. J Balvin),8,2017-03-01,Zion & Lennox,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,Argentina,top200,SAME_POSITION,120630
Vacaciones,9,2017-03-01,Wisin,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE,Argentina,top200,SAME_POSITION,110434
Me llamas (feat. Maluma) - Remix,10,2017-03-01,Piso 21,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX,Argentina,top200,SAME_POSITION,109087
Vente Pa' Ca (feat. Maluma),11,2017-03-01,Ricky Martin,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,Argentina,top200,SAME_POSITION,100269
Safari,12,2017-03-01,"J Balvin, Pharrell Williams, BIA, Sky",https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,Argentina,top200,SAME_POSITION,98475
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",13,2017-03-01,"IAmChino, El Chacal",https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY,Argentina,top200,MOVE_UP,94426
Traicionera,14,2017-03-01,Sebastian Yatra,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT,Argentina,top200,MOVE_DOWN,94129
Gyal You A Party Animal - Remix,15,2017-03-01,"Charly Black, Daddy Yankee",https://open.spotify.com/track/1AkTW13ysu0AJrwuM6UY0I,Argentina,top200,SAME_POSITION,91131
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",16,2017-03-01,Anuel AA,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65,Argentina,top200,SAME_POSITION,87557
Shaky Shaky,17,2017-03-01,Daddy Yankee,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf,Argentina,top200,SAME_POSITION,76493
Manicomio,18,2017-03-01,Cosculluela,https://open.spotify.com/track/3n58u3LOFw8mITLvfPvQBz,Argentina,top200,MOVE_UP,75036
Dile Que Tu Me Quieres,19,2017-03-01,Ozuna,https://open.spotify.com/track/20ZAJdsKB5IGbGj4ilRt2o,Argentina,top200,SAME_POSITION,74621
Amor para un Rato,20,2017-03-01,Olvidate!,https://open.spotify.com/track/47EEKhimMiDtUfYNR5Ii58,Argentina,top200,MOVE_DOWN,73433
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),21,2017-03-01,Enrique Iglesias,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn,Argentina,top200,MOVE_UP,72656
Te Quiero PaÂ´Mi,22,2017-03-01,"Don Omar, Zion & Lennox",https://open.spotify.com/track/3BY2mafsbsoKGqS380Xnuz,Argentina,top200,SAME_POSITION,72620
Andas En Mi Cabeza,23,2017-03-01,"Chino & Nacho, Daddy Yankee",https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF,Argentina,top200,MOVE_DOWN,71284
Rockabye (feat. Sean Paul & Anne-Marie),24,2017-03-01,Clean Bandit,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,Argentina,top200,SAME_POSITION,67919
"I Donât Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",25,2017-03-01,"ZAYN, Taylor Swift",https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,Argentina,top200,MOVE_UP,67679
La Bicicleta,26,2017-03-01,"Carlos Vives, Shakira",https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU,Argentina,top200,MOVE_DOWN,64525
Carnavalintro,27,2017-03-01,Chano,https://open.spotify.com/track/0tGAPnTFwRJA6FZgYZ0BAe,Argentina,top200,MOVE_DOWN,63399
Chained To The Rhythm,28,2017-03-01,"Katy Perry, Skip Marley",https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi,Argentina,top200,MOVE_UP,62871
24K Magic,29,2017-03-01,Bruno Mars,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,Argentina,top200,MOVE_UP,61817
Let Me Love You,30,2017-03-01,"DJ Snake, Justin Bieber",https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,Argentina,top200,MOVE_UP,61109
Paris,31,2017-03-01,The Chainsmokers,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG,Argentina,top200,MOVE_UP,59266
Traicionera - Remix,32,2017-03-01,"Sebastian Yatra, Cosculluela, Cali Y El Dandee",https://open.spotify.com/track/2webQDZmtGioeu3zUUi9We,Argentina,top200,MOVE_DOWN,58506
Chillax (feat. Ky-Mani Marley),33,2017-03-01,Farruko,https://open.spotify.com/track/1lxswgIpzV6HhENRvkflES,Argentina,top200,SAME_POSITION,57429
Borro Cassette,34,2017-03-01,Maluma,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN,Argentina,top200,MOVE_DOWN,57211
La Noche No Es para Dormir,35,2017-03-01,Mano Arriba,https://open.spotify.com/track/3gEebOzxHpEwElicl1XBy0,Argentina,top200,MOVE_DOWN,56446
I Feel It Coming,36,2017-03-01,"The Weeknd, Daft Punk",https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,Argentina,top200,MOVE_UP,56352
No Llores,37,2017-03-01,LOAN,https://open.spotify.com/track/07GOnZWIiHWjLzUsaTv5yO,Argentina,top200,MOVE_DOWN,52659
Closer,38,2017-03-01,"The Chainsmokers, Halsey",https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,Argentina,top200,MOVE_UP,52100
Don't Wanna Know,39,2017-03-01,"Maroon 5, Kendrick Lamar",https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,Argentina,top200,MOVE_UP,52018
Desde Esa Noche (feat. Maluma),40,2017-03-01,Thalia,https://open.spotify.com/track/1pWYnQIlqxTh5bxuPmTG4E,Argentina,top200,MOVE_DOWN,51876
Llamame Mas Temprano,41,2017-03-01,Mano Arriba,https://open.spotify.com/track/5aHJug2wnupoGfgfxRudsk,Argentina,top200,MOVE_DOWN,49811
Starboy,42,2017-03-01,"The Weeknd, Daft Punk",https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,Argentina,top200,MOVE_UP,48331
